song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Locked out of Heaven,Bruno Mars,spotify:track:3w3y8KPTfNeOKPiqUTakBh,3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
Don't Wake Me Up,Chris Brown,spotify:track:12Ns5IphkblPmHxpRILG9t,12Ns5IphkblPmHxpRILG9t,https://api.spotify.com/v1/tracks/12Ns5IphkblPmHxpRILG9t,0.602,0.691,-5.197,0.051,0.0548,0.0,0.144,0.206,127.967,222307,3
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,spotify:track:2E43WFS4rRc09za2r2GmZl,2E43WFS4rRc09za2r2GmZl,https://api.spotify.com/v1/tracks/2E43WFS4rRc09za2r2GmZl,0.558,0.924,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,186827,6
Pokemoneja,Portion Boys,spotify:track:5TqQuklqBP9QIE9FrduMWM,5TqQuklqBP9QIE9FrduMWM,https://api.spotify.com/v1/tracks/5TqQuklqBP9QIE9FrduMWM,0.699,0.88,-3.707,0.0623,0.0588,0.0,0.208,0.962,156.958,201896,4
What We Started,Don Diablo,spotify:track:0e3P53YVOXKnUKvqlU4D2j,0e3P53YVOXKnUKvqlU4D2j,https://api.spotify.com/v1/tracks/0e3P53YVOXKnUKvqlU4D2j,0.36,0.847,-3.931,0.109,0.223,0.00019,0.147,0.501,89.915,203000,3
If I Ever Grow Up,Molly,spotify:track:35FSMEViaX0KDErZDdGsDQ,35FSMEViaX0KDErZDdGsDQ,https://api.spotify.com/v1/tracks/35FSMEViaX0KDErZDdGsDQ,0.616,0.753,-5.81,0.0438,0.00458,0.0,0.506,0.504,129.974,196333,6
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,spotify:track:0AhRPDuVwHkLAACbPXidb3,0AhRPDuVwHkLAACbPXidb3,https://api.spotify.com/v1/tracks/0AhRPDuVwHkLAACbPXidb3,0.518,0.783,-4.88,0.0406,0.215,9.53e-06,0.14,0.152,125.985,214067,5
Locked out of Heaven - Sultan and Ned Shepard Remix,Bruno Mars,spotify:track:6AIxmLiDNHFQgZstB4lzDB,6AIxmLiDNHFQgZstB4lzDB,https://api.spotify.com/v1/tracks/6AIxmLiDNHFQgZstB4lzDB,0.588,0.843,-5.25,0.0484,0.00481,0.0473,0.356,0.22,128.02,410859,3
Anywhere For You,John Martin,spotify:track:7nkOH6CQX02HDuXKWYuh1I,7nkOH6CQX02HDuXKWYuh1I,https://api.spotify.com/v1/tracks/7nkOH6CQX02HDuXKWYuh1I,0.533,0.913,-4.041,0.0663,0.0314,1.42e-06,0.104,0.336,128.022,213929,5
The Next Episode,Dr. Dre,spotify:track:4LwU4Vp6od3Sb08CsP99GC,4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,0.922,0.909,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4
Last Resort,Papa Roach,spotify:track:4V05j7HDUU2bZQwDOeIySh,4V05j7HDUU2bZQwDOeIySh,https://api.spotify.com/v1/tracks/4V05j7HDUU2bZQwDOeIySh,0.56,0.892,-3.365,0.0644,0.000624,0.000164,0.177,0.67,90.615,200480,4
Hoe,Heikki Kuula,spotify:track:1U7VcCEkYqsxkmEfwsUNgG,1U7VcCEkYqsxkmEfwsUNgG,https://api.spotify.com/v1/tracks/1U7VcCEkYqsxkmEfwsUNgG,0.686,0.849,-4.926,0.164,0.0502,0.0,0.145,0.505,91.892,168546,4
Monster (Dotexe Remix),Nightcore,spotify:track:0y8UKPyJOluqIuacosTKEv,0y8UKPyJOluqIuacosTKEv,https://api.spotify.com/v1/tracks/0y8UKPyJOluqIuacosTKEv,0.578,0.649,-5.649,0.0878,0.416,0.00253,0.0869,0.386,168.813,184947,5
Everytime We Touch - Nightcore Edit,Various Artists,spotify:track:76nitv7aiLVbJLmuZZKb92,76nitv7aiLVbJLmuZZKb92,https://api.spotify.com/v1/tracks/76nitv7aiLVbJLmuZZKb92,0.517,0.962,-6.391,0.102,0.0126,0.00125,0.436,0.546,177.641,148479,6
