song,artist,uri,id,track_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,7dS5EaCoMnN7DzlpT6aRn2,https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,241688,3
Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,0.625,129.965,213293,6
See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,2
Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795,3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,4
Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093,6
Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX,7wMq5n8mYSKlQIGECKUgTX,https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,78W8wiUIlQ2SnWY9TVowKZ,https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,-3.19,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203,6
The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB,2jcPoPin36hyNRSi4ZsqeB,https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB,0.616,0.789,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,227373,4
Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,202613,4
Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm,0tBRo4P60DgKmg4jt48upm,https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm,0.709,0.854,-4.447,0.0399,0.047,0.0,0.0724,0.826,105.074,224402,4
Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2,1kAZhbcsXqfUjnVeqPywn2,https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2,0.706,0.89,-6.575,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347,4
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,2N2QvMYwyYHE8V4KZbbG4i,https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i,0.472,0.815,-4.002,0.319,0.171,0.0,0.265,0.81,98.017,230413,0
Whistle,Flo Rida,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,0ltBH1JNzSvQJPjJpvTu9B,https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B,0.754,0.933,-5.786,0.0448,0.0199,0.0,0.297,0.75,103.992,225000,4
Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,5HbCnVLXRyZVxnreOPgJCK,https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK,0.56,0.959,-2.433,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,5
Baby,Justin Bieber,spotify:track:4NFhtFE68cXUrfbne8JE2c,4NFhtFE68cXUrfbne8JE2c,https://api.spotify.com/v1/tracks/4NFhtFE68cXUrfbne8JE2c,0.463,0.854,-5.386,0.32,0.0428,0.0,0.0922,0.567,65.038,216520,0
I Cry,Flo Rida,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,5HE3z4Ew7wZ91l3ZOpGKa4,https://api.spotify.com/v1/tracks/5HE3z4Ew7wZ91l3ZOpGKa4,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4
Coconut Tree,Mohombi,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,5L9THbmMKB6ZlHlMgzaXHf,https://api.spotify.com/v1/tracks/5L9THbmMKB6ZlHlMgzaXHf,0.687,0.855,-5.341,0.0416,0.0486,0.0,0.233,0.647,130.029,218373,4
One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz,7qUcqYzOtfZe65bednDxmz,https://api.spotify.com/v1/tracks/7qUcqYzOtfZe65bednDxmz,0.58,0.75,-4.421,0.194,0.159,0.0,0.274,0.728,86.938,229107,4
Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:0seHreoI3kwp38OlEgLLnT,0seHreoI3kwp38OlEgLLnT,https://api.spotify.com/v1/tracks/0seHreoI3kwp38OlEgLLnT,0.695,0.628,-6.498,0.0442,0.0539,0.0,0.32,0.529,144.114,236200,6
Don't You Worry Child - Radio Edit,Swedish House Mafia,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,5DcPOPPUnNhyPYbTi2aWjR,https://api.spotify.com/v1/tracks/5DcPOPPUnNhyPYbTi2aWjR,0.608,0.828,-3.597,0.051,0.125,0.0,0.113,0.484,128.919,212841,5
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,4
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,1HfPcQ3c2HyGeID3u1lmCa,https://api.spotify.com/v1/tracks/1HfPcQ3c2HyGeID3u1lmCa,0.491,0.857,-2.634,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,222500,5
Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,6Ep6BzIOB9tz3P4sWqiiAB,https://api.spotify.com/v1/tracks/6Ep6BzIOB9tz3P4sWqiiAB,0.473,0.777,-3.698,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813,6
Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF,3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,224653,4
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE,05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,-5.066,0.0483,0.41,0.0,0.237,0.58,124.989,234507,4
Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
Scream & Shout,will.i.am,spotify:track:2iJuuzV8P9Yz0VSurttIV5,2iJuuzV8P9Yz0VSurttIV5,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400,3
Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,5
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,spotify:track:4YMqbFcDIFiCBd02PzUBcM,4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM,0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,0
Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:5YPMEOJ58kfl56VHxTgwx3,5YPMEOJ58kfl56VHxTgwx3,https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3,0.691,0.921,-1.702,0.0533,0.173,0.0,0.331,0.8,130.072,201000,4
Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i,37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467,5
I Cry,Flo Rida,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,3zrYNl1aMdFrQkcOjKVr5u,https://api.spotify.com/v1/tracks/3zrYNl1aMdFrQkcOjKVr5u,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800,4
Counting Stars,OneRepublic,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,1QzFhzIOW7CyRJLpmq5CM0,https://api.spotify.com/v1/tracks/1QzFhzIOW7CyRJLpmq5CM0,0.663,0.705,-4.972,0.0385,0.0654,0.0,0.117,0.477,122.014,257387,3
Gangnam Style (강남스타일),PSY,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,1R2SZUOGJqqBiLuvwKOT2Y,https://api.spotify.com/v1/tracks/1R2SZUOGJqqBiLuvwKOT2Y,0.727,0.938,-2.872,0.288,0.00432,0.0,0.0911,0.757,132.077,219493,4
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,0.668,0.758,-3.589,0.158,0.0338,0.0,0.204,0.531,135.958,229507,5
Capsize,FRENSHIP,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,3GBlLqIYgB8zWaeWDNJzdh,https://api.spotify.com/v1/tracks/3GBlLqIYgB8zWaeWDNJzdh,0.681,0.708,-6.019,0.0304,0.042,0.14,0.682,0.356,92.993,237760,6
Magical,Tungevaag,spotify:track:43lwHSTEexXRVVeXZtAtfi,43lwHSTEexXRVVeXZtAtfi,https://api.spotify.com/v1/tracks/43lwHSTEexXRVVeXZtAtfi,0.504,0.912,-2.867,0.259,0.199,0.0,0.105,0.248,189.983,218539,5
Bleeding Love,Leona Lewis,spotify:track:6LtPIXlIzPOTF8vTecYjRe,6LtPIXlIzPOTF8vTecYjRe,https://api.spotify.com/v1/tracks/6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,-5.864,0.0366,0.192,0.0,0.154,0.201,104.058,262693,3
Drop That Low (When I Dip),Tujamo,spotify:track:48kF7W23OIcVBsNY5UesuQ,48kF7W23OIcVBsNY5UesuQ,https://api.spotify.com/v1/tracks/48kF7W23OIcVBsNY5UesuQ,0.579,0.896,-4.132,0.373,0.00945,0.836,0.121,0.103,125.672,160000,1
Perfect Strangers,Jonas Blue,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,1CUVN2kn7mW5FjkqXTR2W1,https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1,0.742,0.819,-5.307,0.0487,0.372,0.0,0.277,0.709,117.986,196613,4
Thinking About You,Axwell /\ Ingrosso,spotify:track:3eBwnjEe60kDJAMlFg1ewf,3eBwnjEe60kDJAMlFg1ewf,https://api.spotify.com/v1/tracks/3eBwnjEe60kDJAMlFg1ewf,0.69,0.811,-5.475,0.058,0.044,0.0,0.205,0.521,122.001,204590,4
Please Don't Go,Joel Adams,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,210580,3
Lions in the Wild,Martin Garrix,spotify:track:6F1kPSgdnlSzZRfskE9vaV,6F1kPSgdnlSzZRfskE9vaV,https://api.spotify.com/v1/tracks/6F1kPSgdnlSzZRfskE9vaV,0.504,0.847,-6.81,0.0442,0.00434,0.0,0.816,0.28,127.854,211890,6
Never Be Like You,Flume,spotify:track:12REd1n8PeiHHWOh066tpr,12REd1n8PeiHHWOh066tpr,https://api.spotify.com/v1/tracks/12REd1n8PeiHHWOh066tpr,0.494,0.559,-5.445,0.0565,0.436,0.0,0.164,0.264,119.247,233337,3
Treat You Better,Shawn Mendes,spotify:track:53B2XmmjJ9rriW1qciMBeX,53B2XmmjJ9rriW1qciMBeX,https://api.spotify.com/v1/tracks/53B2XmmjJ9rriW1qciMBeX,0.45,0.825,-4.066,0.372,0.121,0.0,0.109,0.742,82.823,187973,0
Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,2
Send My Love (To Your New Lover),Adele,spotify:track:3KZcrZ36LW9RnChK1iIkth,3KZcrZ36LW9RnChK1iIkth,https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth,0.688,0.532,-8.361,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,223079,5
When We Were Young,Adele,spotify:track:0cj2joJcY6b4XSRfj2eZOl,0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl,0.377,0.595,-5.936,0.0489,0.303,0.0,0.095,0.264,144.464,290900,3
Someone Like You,Adele,spotify:track:6QPKYGnAW9QozVz2dSWqRg,6QPKYGnAW9QozVz2dSWqRg,https://api.spotify.com/v1/tracks/6QPKYGnAW9QozVz2dSWqRg,0.554,0.321,-8.251,0.028,0.893,0.0,0.0996,0.288,135.047,285240,7
Set Fire to the Rain,Adele,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,5PKWUDfQFtc5qqo8cs1gQp,https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp,0.603,0.67,-3.882,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974,3
Apologize,OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG,1NrJYpdAi7uosDRPmSYrsG,https://api.spotify.com/v1/tracks/1NrJYpdAi7uosDRPmSYrsG,0.593,0.74,-6.12,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,3
Onnelliseksi,Juju,spotify:track:6hvNLxrHBdR1qzdrKasCPE,6hvNLxrHBdR1qzdrKasCPE,https://api.spotify.com/v1/tracks/6hvNLxrHBdR1qzdrKasCPE,0.645,0.434,-7.791,0.0399,0.00187,0.00226,0.124,0.249,100.01,213013,3
I See Fire,Ed Sheeran,spotify:track:5pY3ovFxbvAg7reGZjJQSp,5pY3ovFxbvAg7reGZjJQSp,https://api.spotify.com/v1/tracks/5pY3ovFxbvAg7reGZjJQSp,0.641,0.176,-11.692,0.0349,0.638,5.14e-06,0.252,0.297,76.031,299147,7
Chasing Cars,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ,11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/tracks/11bD1JtSjlIgKgZG2134DZ,0.563,0.592,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933,3
Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,7
Go Hard or Go Home,Various Artists,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,2QJnTfMpNG05KFf2E3gVIJ,https://api.spotify.com/v1/tracks/2QJnTfMpNG05KFf2E3gVIJ,0.651,0.741,-5.067,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,232773,5
Läikkyy,Arttu Lindeman,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,1gou2U6ZcLKXLBC3MYVtEu,https://api.spotify.com/v1/tracks/1gou2U6ZcLKXLBC3MYVtEu,0.669,0.846,-3.976,0.156,0.15,0.0,0.154,0.793,150.014,206200,4
1972,Anssi Kela,spotify:track:4htrHrq1AB38vprDEha0hv,4htrHrq1AB38vprDEha0hv,https://api.spotify.com/v1/tracks/4htrHrq1AB38vprDEha0hv,0.542,0.644,-6.196,0.0961,0.0219,0.0,0.138,0.545,153.972,249560,5
Toxic,Britney Spears,spotify:track:26nr9XnFCYWxBTIP7HyWXg,26nr9XnFCYWxBTIP7HyWXg,https://api.spotify.com/v1/tracks/26nr9XnFCYWxBTIP7HyWXg,0.774,0.839,-3.948,0.114,0.027,0.0166,0.252,0.923,142.985,198813,4
Älä herätä mua unesta,Mikael Gabriel,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,02RaNOB5CIiXAhgvLE6Xp0,https://api.spotify.com/v1/tracks/02RaNOB5CIiXAhgvLE6Xp0,0.656,0.675,-7.455,0.0457,0.119,0.0,0.0925,0.353,126.889,204573,3
Spaceman,Aste,spotify:track:3PfG2rMOU9HglycfbIC4yM,3PfG2rMOU9HglycfbIC4yM,https://api.spotify.com/v1/tracks/3PfG2rMOU9HglycfbIC4yM,0.737,0.95,-2.522,0.0611,0.017,0.0,0.233,0.968,127.0,197453,4
Only One,Aste,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,1ttYNQjND5nBtUnpNMlLQQ,https://api.spotify.com/v1/tracks/1ttYNQjND5nBtUnpNMlLQQ,0.578,0.839,-3.806,0.0755,0.000649,0.0,0.0708,0.509,121.995,240280,5
Come & Get It,Selena Gomez,spotify:track:5U2m76qAMdr3gXI0g6ptlG,5U2m76qAMdr3gXI0g6ptlG,https://api.spotify.com/v1/tracks/5U2m76qAMdr3gXI0g6ptlG,0.349,0.795,-4.133,0.0758,0.0102,0.000138,0.0812,0.542,148.985,231987,5
Wherever I Go,OneRepublic,spotify:track:7kUtJKGZzLNgIkq1Galkt0,7kUtJKGZzLNgIkq1Galkt0,https://api.spotify.com/v1/tracks/7kUtJKGZzLNgIkq1Galkt0,0.543,0.691,-6.403,0.0425,0.107,0.0,0.218,0.335,100.014,170213,3
Heatwave (feat. Akon),Robin Schulz,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,2KMJ5CoxY4ECG9TZyNWmpv,https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv,0.702,0.82,-4.323,0.063,0.196,0.0,0.156,0.52,107.936,187126,4
Hubba Bubba,Teflon Brothers,spotify:track:2hQVEDz4hG8RGmzSPKTDrT,2hQVEDz4hG8RGmzSPKTDrT,https://api.spotify.com/v1/tracks/2hQVEDz4hG8RGmzSPKTDrT,0.68,0.847,-6.439,0.0353,0.000755,0.0,0.159,0.792,136.039,207394,4
I'm In Control,AlunaGeorge,spotify:track:16NOHRm0OEjmg55OZAxVmV,16NOHRm0OEjmg55OZAxVmV,https://api.spotify.com/v1/tracks/16NOHRm0OEjmg55OZAxVmV,0.734,0.847,-3.713,0.0346,0.355,0.000144,0.154,0.673,104.013,209425,4
Arcade - Radio Edit,Dimitri Vegas & Like Mike,spotify:track:7FKjWBgGgCGYoRRDIhp4bR,7FKjWBgGgCGYoRRDIhp4bR,https://api.spotify.com/v1/tracks/7FKjWBgGgCGYoRRDIhp4bR,0.565,0.957,-4.167,0.0723,0.00923,0.69,0.293,0.175,127.953,225000,1
She Doesn't Mind,Sean Paul,spotify:track:4odiyU3myG29Ld0wurMfE8,4odiyU3myG29Ld0wurMfE8,https://api.spotify.com/v1/tracks/4odiyU3myG29Ld0wurMfE8,0.718,0.776,-5.208,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,227787,4
Satellites - Radio Edit,Bobby Burns,spotify:track:3peFUAm5l0kWIJXy7Q8GYP,3peFUAm5l0kWIJXy7Q8GYP,https://api.spotify.com/v1/tracks/3peFUAm5l0kWIJXy7Q8GYP,0.535,0.829,-4.371,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,232519,5
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,spotify:track:34NNeV9jfgNgaALgUr0u9V,34NNeV9jfgNgaALgUr0u9V,https://api.spotify.com/v1/tracks/34NNeV9jfgNgaALgUr0u9V,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,5
I Just Had Sex,The Lonely Island,spotify:track:1OmxpKVSvn0LGcM3SQS4OV,1OmxpKVSvn0LGcM3SQS4OV,https://api.spotify.com/v1/tracks/1OmxpKVSvn0LGcM3SQS4OV,0.621,0.802,-4.735,0.118,0.0235,0.0,0.108,0.819,167.976,168200,5
Angels Unite (Radio Edit),Scarlet,spotify:track:3UFoVEy7B2yqUMB21yyJm2,3UFoVEy7B2yqUMB21yyJm2,https://api.spotify.com/v1/tracks/3UFoVEy7B2yqUMB21yyJm2,0.529,0.876,-5.649,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,216566,5
Gypsy Drop - Radio Edit,Filip Jenven,spotify:track:11xsm79HwpWV1C1lMXoVo9,11xsm79HwpWV1C1lMXoVo9,https://api.spotify.com/v1/tracks/11xsm79HwpWV1C1lMXoVo9,0.797,0.962,-4.239,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502,1
Bigroom Blitz - Radio Mix,Scooter,spotify:track:1Xcww2gldd5hN6WvGBsbFT,1Xcww2gldd5hN6WvGBsbFT,https://api.spotify.com/v1/tracks/1Xcww2gldd5hN6WvGBsbFT,0.713,0.909,-4.274,0.0306,0.00303,0.000706,0.699,0.438,132.022,187273,6
Satisfied (feat. VASSY) - Original Mix,Showtek,spotify:track:6LU68pNqUguPOsjPIaJwo6,6LU68pNqUguPOsjPIaJwo6,https://api.spotify.com/v1/tracks/6LU68pNqUguPOsjPIaJwo6,0.611,0.941,-1.958,0.0491,0.00326,0.0205,0.345,0.589,128.002,258743,6
Gold Skies - Original Mix,Sander van Doorn,spotify:track:4zXQSm5XIkcn5qtmtbwO9O,4zXQSm5XIkcn5qtmtbwO9O,https://api.spotify.com/v1/tracks/4zXQSm5XIkcn5qtmtbwO9O,0.564,0.823,-6.316,0.046,0.00406,0.0716,0.684,0.221,128.018,329067,6
Love Louder - Style Of Eye Remix,John Martin,spotify:track:2WEiz65hkQPlThgncVH34T,2WEiz65hkQPlThgncVH34T,https://api.spotify.com/v1/tracks/2WEiz65hkQPlThgncVH34T,0.56,0.854,-4.878,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,373650,6
Forbidden Voices,Martin Garrix,spotify:track:2BF1X5nkYYSb0AUTRaGkDm,2BF1X5nkYYSb0AUTRaGkDm,https://api.spotify.com/v1/tracks/2BF1X5nkYYSb0AUTRaGkDm,0.534,0.711,-5.927,0.0368,0.05,0.0031,0.135,0.3,128.102,230635,3
Salsa Tequila,Anders Nilsen,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,4WRjqQ6sx5qIcddaIxNTfF,https://api.spotify.com/v1/tracks/4WRjqQ6sx5qIcddaIxNTfF,0.661,0.906,-3.352,0.125,0.131,4.1e-05,0.0743,0.638,127.966,199805,4
All I Ever Wanted - Radio Edit,Basshunter,spotify:track:3uoqlATyV5IWOhy0LBF7k1,3uoqlATyV5IWOhy0LBF7k1,https://api.spotify.com/v1/tracks/3uoqlATyV5IWOhy0LBF7k1,0.645,0.984,-7.051,0.0508,0.164,0.00701,0.164,0.553,144.954,176453,5
Memories (feat. Kid Cudi),David Guetta,spotify:track:4iMu9le3ytNO3tvgVpQANx,4iMu9le3ytNO3tvgVpQANx,https://api.spotify.com/v1/tracks/4iMu9le3ytNO3tvgVpQANx,0.561,0.87,-6.103,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093,0
Trumpsta (Djuro Remix) [feat. Treyy G],Various Artists,spotify:track:3YcXXjmC9cM5Y2x3jUps0p,3YcXXjmC9cM5Y2x3jUps0p,https://api.spotify.com/v1/tracks/3YcXXjmC9cM5Y2x3jUps0p,0.973,0.587,-7.014,0.242,0.00207,0.38,0.257,0.195,128.0,258507,0
Moonlight Shadow,ItaloBrothers,spotify:track:6T9vhWadqtG3J3jfYf8kcI,6T9vhWadqtG3J3jfYf8kcI,https://api.spotify.com/v1/tracks/6T9vhWadqtG3J3jfYf8kcI,0.577,0.952,-5.172,0.0404,0.0529,0.00603,0.31,0.808,150.02,186880,4
Colours Of The Rainbow,ItaloBrothers,spotify:track:4fWcyB6ik13xv6QFmORi0H,4fWcyB6ik13xv6QFmORi0H,https://api.spotify.com/v1/tracks/4fWcyB6ik13xv6QFmORi0H,0.616,0.946,-6.392,0.059,0.00341,0.000188,0.168,0.744,140.045,210240,4
Honey,Evelina,spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ,6d0eTPJ3JZTwOAwLdl0hOJ,https://api.spotify.com/v1/tracks/6d0eTPJ3JZTwOAwLdl0hOJ,0.68,0.633,-5.236,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,221633,5
Pämppää,Teflon Brothers,spotify:track:6xQjgKUjjKgLDfOibSRyRM,6xQjgKUjjKgLDfOibSRyRM,https://api.spotify.com/v1/tracks/6xQjgKUjjKgLDfOibSRyRM,0.8,0.887,-5.038,0.0632,0.113,0.0,0.154,0.526,109.988,191991,4
Viva La Vida,Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b,1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,5
If I Lose Myself,OneRepublic,spotify:track:0ett0qCHbl0vdSRFhRSkMc,0ett0qCHbl0vdSRFhRSkMc,https://api.spotify.com/v1/tracks/0ett0qCHbl0vdSRFhRSkMc,0.485,0.699,-6.017,0.0479,0.096,0.0,0.109,0.242,140.096,241560,5
In2,WSTRN,spotify:track:3WEmAizxrtQwXEJQRwCrK1,3WEmAizxrtQwXEJQRwCrK1,https://api.spotify.com/v1/tracks/3WEmAizxrtQwXEJQRwCrK1,0.553,0.662,-6.454,0.129,0.342,0.0,0.141,0.561,98.368,242121,3
Somebody to Die For,Hurts,spotify:track:0GDz2tPdh6FbxJxM75SQB4,0GDz2tPdh6FbxJxM75SQB4,https://api.spotify.com/v1/tracks/0GDz2tPdh6FbxJxM75SQB4,0.426,0.599,-7.737,0.0282,0.0198,0.00142,0.366,0.102,91.995,275547,3
